p,w,l,wl
http://www.wikidata.org/entity/Q1124,http://www.wikidata.org/entity/Q6294,Bill Clinton,Hillary Rodham Clinton
http://www.wikidata.org/entity/Q76,http://www.wikidata.org/entity/Q13133,Barack Obama,Michelle Obama
http://www.wikidata.org/entity/Q8007,http://www.wikidata.org/entity/Q83396,Franklin Delano Roosevelt,Eleanor Roosevelt
http://www.wikidata.org/entity/Q11881,http://www.wikidata.org/entity/Q24790,John Tyler,Letitia Christian Tyler
http://www.wikidata.org/entity/Q9960,http://www.wikidata.org/entity/Q95055,Ronald Reagan,Jane Wyman
http://www.wikidata.org/entity/Q207,http://www.wikidata.org/entity/Q152019,George W. Bush,Laura Bush
http://www.wikidata.org/entity/Q9588,http://www.wikidata.org/entity/Q158707,Richard Nixon,Pat Nixon
http://www.wikidata.org/entity/Q9696,http://www.wikidata.org/entity/Q165421,John F. Kennedy,Jacqueline Kennedy Onassis
http://www.wikidata.org/entity/Q23505,http://www.wikidata.org/entity/Q190628,George H. W. Bush,Barbara Bush
http://www.wikidata.org/entity/Q23,http://www.wikidata.org/entity/Q191789,George Washington,Martha Washington
http://www.wikidata.org/entity/Q9960,http://www.wikidata.org/entity/Q193426,Ronald Reagan,Nancy Reagan
http://www.wikidata.org/entity/Q11806,http://www.wikidata.org/entity/Q206191,John Adams,Abigail Adams
http://www.wikidata.org/entity/Q9582,http://www.wikidata.org/entity/Q213122,Gerald Ford,Betty Ford
http://www.wikidata.org/entity/Q91,http://www.wikidata.org/entity/Q215062,Abraham Lincoln,Mary Todd Lincoln
http://www.wikidata.org/entity/Q23685,http://www.wikidata.org/entity/Q219353,Jimmy Carter,Rosalynn Carter
http://www.wikidata.org/entity/Q11815,http://www.wikidata.org/entity/Q233628,James Monroe,Elizabeth Monroe
http://www.wikidata.org/entity/Q35286,http://www.wikidata.org/entity/Q233634,Warren G. Harding,Florence Harding
http://www.wikidata.org/entity/Q11813,http://www.wikidata.org/entity/Q233638,James Madison,Dolley Madison
http://www.wikidata.org/entity/Q34836,http://www.wikidata.org/entity/Q233641,Ulysses S. Grant,Julia Grant
http://www.wikidata.org/entity/Q35171,http://www.wikidata.org/entity/Q233644,Grover Cleveland,Frances Folsom Cleveland Preston
http://www.wikidata.org/entity/Q35171,http://www.wikidata.org/entity/Q233644,Grover Cleveland,Frances Folsom Cleveland Preston
http://www.wikidata.org/entity/Q9640,http://www.wikidata.org/entity/Q233648,Lyndon B. Johnson,Lady Bird Johnson
http://www.wikidata.org/entity/Q11613,http://www.wikidata.org/entity/Q233652,Harry S. Truman,Bess Truman
http://www.wikidata.org/entity/Q11816,http://www.wikidata.org/entity/Q233660,John Quincy Adams,Louisa Adams
http://www.wikidata.org/entity/Q35236,http://www.wikidata.org/entity/Q233669,Herbert Hoover,Lou Henry Hoover
http://www.wikidata.org/entity/Q9916,http://www.wikidata.org/entity/Q233686,Dwight D. Eisenhower,Mamie Eisenhower
http://www.wikidata.org/entity/Q35678,http://www.wikidata.org/entity/Q234263,Benjamin Harrison,Caroline Harrison
http://www.wikidata.org/entity/Q34597,http://www.wikidata.org/entity/Q234261,James A. Garfield,Lucretia Garfield
http://www.wikidata.org/entity/Q12306,http://www.wikidata.org/entity/Q234266,Millard Fillmore,Abigail Fillmore
http://www.wikidata.org/entity/Q8612,http://www.wikidata.org/entity/Q234295,Andrew Johnson,Eliza McCardle Johnson
http://www.wikidata.org/entity/Q11896,http://www.wikidata.org/entity/Q234302,Zachary Taylor,Margaret Taylor
http://www.wikidata.org/entity/Q11881,http://www.wikidata.org/entity/Q234525,John Tyler,Julia Gardiner Tyler
http://www.wikidata.org/entity/Q33866,http://www.wikidata.org/entity/Q237590,Theodore Roosevelt,Edith Roosevelt
http://www.wikidata.org/entity/Q11812,http://www.wikidata.org/entity/Q238001,Thomas Jefferson,Martha Jefferson
http://www.wikidata.org/entity/Q12312,http://www.wikidata.org/entity/Q238371,Franklin Pierce,Jane Pierce
http://www.wikidata.org/entity/Q11817,http://www.wikidata.org/entity/Q238387,Andrew Jackson,Rachel Jackson
http://www.wikidata.org/entity/Q35041,http://www.wikidata.org/entity/Q238397,William McKinley,Ida Saxton McKinley
http://www.wikidata.org/entity/Q35648,http://www.wikidata.org/entity/Q255115,William Howard Taft,Helen Herron Taft
http://www.wikidata.org/entity/Q35686,http://www.wikidata.org/entity/Q234275,Rutherford B. Hayes,Lucy Webb Hayes
http://www.wikidata.org/entity/Q34296,http://www.wikidata.org/entity/Q234283,Woodrow Wilson,Ellen Axson Wilson
http://www.wikidata.org/entity/Q36023,http://www.wikidata.org/entity/Q234287,Calvin Coolidge,Grace Coolidge
http://www.wikidata.org/entity/Q11891,http://www.wikidata.org/entity/Q234285,James K. Polk,Sarah Childress Polk
http://www.wikidata.org/entity/Q34296,http://www.wikidata.org/entity/Q255169,Woodrow Wilson,Edith Bolling Galt Wilson
http://www.wikidata.org/entity/Q11869,http://www.wikidata.org/entity/Q255190,William Henry Harrison,Anna Harrison
http://www.wikidata.org/entity/Q11820,http://www.wikidata.org/entity/Q255310,Martin Van Buren,Hannah Van Buren
http://www.wikidata.org/entity/Q35498,http://www.wikidata.org/entity/Q2306099,Chester A. Arthur,Ellen Lewis Herndon Arthur
http://www.wikidata.org/entity/Q35678,http://www.wikidata.org/entity/Q2421426,Benjamin Harrison,Mary Dimmick Harrison
http://www.wikidata.org/entity/Q33866,http://www.wikidata.org/entity/Q2836599,Theodore Roosevelt,Alice Hathaway Lee Roosevelt
